dataset,impl,n,energy_total_mean,energy_total_sd,energy_total_var,energy_total_median,energy_total_min,energy_total_max,cpu_energy_mean,cpu_energy_sd,cpu_energy_var,cpu_energy_median,cpu_energy_min,cpu_energy_max,gpu_energy_mean,gpu_energy_sd,gpu_energy_var,gpu_energy_median,gpu_energy_min,gpu_energy_max,power_avg_total_mean,power_avg_total_sd,power_avg_total_var,power_avg_total_median,power_avg_total_min,power_avg_total_max,power_avg_cpu_mean,power_avg_cpu_sd,power_avg_cpu_var,power_avg_cpu_median,power_avg_cpu_min,power_avg_cpu_max,power_avg_gpu_calc_mean,power_avg_gpu_calc_sd,power_avg_gpu_calc_var,power_avg_gpu_calc_median,power_avg_gpu_calc_min,power_avg_gpu_calc_max,power_avg_gpu_meas_mean,power_avg_gpu_meas_sd,power_avg_gpu_meas_var,power_avg_gpu_meas_median,power_avg_gpu_meas_min,power_avg_gpu_meas_max,runtime_mean,runtime_sd,runtime_var,runtime_median,runtime_min,runtime_max,mem_gib_mean,mem_gib_sd,mem_gib_var,mem_gib_median,mem_gib_min,mem_gib_max,cpu_util_mean,cpu_util_sd,cpu_util_var,cpu_util_median,cpu_util_min,cpu_util_max,gpu_util_mean,gpu_util_sd,gpu_util_var,gpu_util_median,gpu_util_min,gpu_util_max,accuracy_mean,accuracy_sd,accuracy_var,accuracy_median,accuracy_min,accuracy_max
iris,skl_cpu,40,17.834399414,0.9002800223023861,0.8105041185567848,17.96014404,16.65722656,18.84051514,17.834399414,0.9002800223023861,0.8105041185567848,17.96014404,16.65722656,18.84051514,NA,NA,NA,NA,NA,NA,8.520718986085045,0.4293456679240474,0.18433770256514637,8.616111291004831,7.975714708109977,8.974124606277767,8.520718986085045,0.4293456679240474,0.18433770256514637,8.616111291004831,7.975714708109977,8.974124606277767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.0930985929,0.013597516571075838,1.8489245690068203e-4,2.0917388205,2.06671977,2.114987135,13.364036560058594,0.14645515075998233,0.021449111184129156,13.34316635131836,13.148841857910156,13.739959716796875,28.416553372,3.455996689426781,11.943913117328869,28.587975229999998,23.90689909,31.96985919,NA,NA,NA,NA,NA,NA,1,0,0,1,1,1
wine,skl_cpu,40,18.278857421,0.8667625541371154,0.751277325254296,18.747283935,16.92169189,19.20397949,18.278857421,0.8667625541371154,0.751277325254296,18.747283935,16.92169189,19.20397949,NA,NA,NA,NA,NA,NA,8.711034842935224,0.4069873654588049,0.16563871564309882,8.912099062663803,8.079672542375313,9.098555647228093,8.711034842935224,0.4069873654588049,0.16563871564309882,8.912099062663803,8.079672542375313,9.098555647228093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.09833107,0.013593129966153784,1.8477318227674798e-4,2.0950596335,2.074062347,2.124861002,13.347312545776367,0.08950096247476295,0.008010422283908926,13.352283477783203,13.166610717773438,13.518245697021484,29.308299687999998,2.9098572295054828,8.467269096105323,29.981088835,25.02232941,32.41488109,NA,NA,NA,NA,NA,NA,0.9615385000000001,0.03895147516708841,0.0015172174176923052,0.9615385000000001,0.923077,1
breast_cancer,skl_cpu,40,17.888842773,0.9321798543530091,0.8689592808615973,17.855804445,16.76928711,18.93762207,17.888842773,0.9321798543530091,0.8689592808615973,17.855804445,16.76928711,18.93762207,NA,NA,NA,NA,NA,NA,8.547086151087655,0.435502264154959,0.1896622220840957,8.570055224576588,7.945278214864703,9.034801601003617,8.547086151087655,0.435502264154959,0.1896622220840957,8.570055224576588,7.945278214864703,9.034801601003617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.0928993941,0.013187596225096902,1.7391269419619009e-4,2.0932711365,2.070055008,2.113385201,13.34584846496582,0.08935813069120013,0.007984875520625604,13.343786239624023,13.157325744628906,13.509429931640625,28.581748858,3.4423155529493097,11.84953636607671,28.460874705000002,24.3358907,32.79258741,NA,NA,NA,NA,NA,NA,0.9429825000000001,0.031092617678519195,9.667508741025644e-4,0.9429825000000001,0.912281,0.973684
digits,skl_cpu,40,18.050335694,1.1830530501241339,1.3996145194080165,17.917053225,16.75982666,20.28796387,18.050335694,1.1830530501241339,1.3996145194080165,17.917053225,16.75982666,20.28796387,NA,NA,NA,NA,NA,NA,8.585780623924787,0.5665435821461455,0.32097163047098637,8.437820987520041,7.952948837475241,9.644196304945861,8.585780623924787,0.5665435821461455,0.32097163047098637,8.437820987520041,7.952948837475241,9.644196304945861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.102536273,0.024104322853267298,5.810183802145442e-4,2.0943307874999997,2.072098017,2.160709858,13.345449447631836,0.08672561760974923,0.007521332749792446,13.344480514526367,13.159038543701172,13.494739532470703,29.08425194,3.7113472676959978,13.77409854143455,28.768993805,25.24614892,35.44140518,NA,NA,NA,NA,NA,NA,0.986111,0.014065937069425027,1.9785058564102513e-4,0.986111,0.972222,1
iris,intelex_cpu,20,21.809326174,0.1001509284817434,0.01003020847575528,21.78393555,21.68792725,21.94787598,21.809326174,0.1001509284817434,0.01003020847575528,21.78393555,21.68792725,21.94787598,NA,NA,NA,NA,NA,NA,10.467509023429313,0.0726526181913312,0.005278402930055349,10.443858966800486,10.385204864111632,10.598233336662176,10.467509023429313,0.0726526181913312,0.005278402930055349,10.443858966800486,10.385204864111632,10.598233336662176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.0835790633999998,0.01078662795164698,1.1635134256725192e-4,2.086180449,2.070899487,2.096367359,13.407209014892578,0.07334588112410467,0.005379618277871295,13.391868591308594,13.294212341308594,13.507366180419922,28.974768962,0.5971192456371055,0.35655139351022597,29.15120469,28.10290339,29.82847055,NA,NA,NA,NA,NA,NA,1,0,0,1,1,1
wine,intelex_cpu,20,21.868933106,0.2318884807306009,0.05377226749554626,21.88879395,21.50842285,22.16912842,21.868933106,0.2318884807306009,0.05377226749554626,21.88879395,21.50842285,22.16912842,NA,NA,NA,NA,NA,NA,10.478009257258462,0.1407269763569111,0.019804081874558614,10.498486435332383,10.24857009229596,10.614599789761948,10.478009257258462,0.1407269763569111,0.019804081874558614,10.498486435332383,10.24857009229596,10.614599789761948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.0872090816,0.007933865068605418,6.294621492683726e-5,2.088550568,2.07469058,2.098675489,13.41260223388672,0.06847343816738292,0.004688611734462412,13.405200958251953,13.304183959960938,13.502262115478516,29.399381232,0.36049721806087087,0.1299582442296271,29.47507095,28.761563,29.75771926,NA,NA,NA,NA,NA,NA,1,0,0,1,1,1
breast_cancer,intelex_cpu,20,23.502905274,1.4259042977154974,2.0332030662435256,22.8604126,21.97454834,25.88494873,23.502905274,1.4259042977154974,2.0332030662435256,22.8604126,21.97454834,25.88494873,NA,NA,NA,NA,NA,NA,11.25432673092451,0.632564903979843,0.40013835774702805,11.036977350172288,10.635262112114114,12.366998037989672,11.25432673092451,0.632564903979843,0.40013835774702805,11.036977350172288,10.635262112114114,12.366998037989672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.0878974437999998,0.018183905929786037,3.3065443486330774e-4,2.093066454,2.066197157,2.11557126,13.44324951171875,0.11888834911974462,0.014134439556418282,13.39749526977539,13.30911636352539,13.654441833496094,31.295991784,1.7000944032043404,2.8903209798067224,30.74678846,29.41335681,34.29040691,NA,NA,NA,NA,NA,NA,0.973684,0,0,0.973684,0.973684,0.973684
digits,intelex_cpu,20,22.112805176000002,0.04909954464049797,0.002410765283904253,22.10968018,22.03491211,22.18481445,22.112805176000002,0.04909954464049797,0.002410765283904253,22.10968018,22.03491211,22.18481445,NA,NA,NA,NA,NA,NA,10.604958434338895,0.06236102832282384,0.0038888978534800376,10.598423568073413,10.514728520463288,10.684272031083296,10.604958434338895,0.06236102832282384,0.0038888978534800376,10.598423568073413,10.514728520463288,10.684272031083296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.0851967814,0.011290262686888347,1.2747003153894328e-4,2.093218327,2.069275618,2.095623493,13.435190582275391,0.08734427397280956,0.007629022195837216,13.401161193847656,13.331253051757812,13.584487915039062,28.326858606000002,1.5014309584717311,2.254294923057341,28.9223426,25.42171039,29.31311152,NA,NA,NA,NA,NA,NA,1,0,0,1,1,1
iris,trh_gpu,20,58.102816547399996,0.7609424460187555,0.5790334061530067,57.607510334,57.433535166,59.1605396,54.23446045,0.890546845649054,0.79307368429548,53.64208984,53.44146729,55.40032959,3.8683560974,0.22057516680798195,0.04865340421236906,3.967019472,3.438800915,3.992067876,8.092482327042024,0.10774569794594228,0.011609135425858232,8.029896739834447,8.00045394090524,8.271722965551751,7.553619670792493,0.11982446311309734,0.014357901960342026,7.47175779313651,7.448233701302485,7.715460020701271,0.538862656249532,0.03212850276646353,0.0010322406900146546,0.5522202396027565,0.47643792794220385,0.5581389466979382,3.9299999999999997,0.3038851738111324,0.09234619886222213,3.83,3.503333333,4.293333333,7.1799127577999995,0.0257658718888216,6.638801541911672e-4,7.183763266,7.152142286,7.217731237,13.834580993652343,0.04278210726219556,0.001830308701794006,13.848182678222656,13.757404327392578,13.878395080566406,18.036720278,0.579664627383677,0.33601108023985704,18.20344982,17.30476956,18.70777746,6.108984,1.1229749108993812,1.2610726505094731,5.34712,5.34712,8.15644,1,0,0,1,1,1
wine,trh_gpu,20,61.801866612199994,5.572533954661345,31.05313467585361,59.704193546999996,56.682018643999996,71.55622951,55.315734862,1.922482821620069,3.6959401994242613,55.53314209,53.12042236,57.74243164,6.4861317502,3.91301418313215,15.311679997393368,4.228989178,3.561596284,13.81379787,8.614764060058494,0.790420926000796,0.6247652402599558,8.294684526810627,7.891018569701026,9.997965274722779,7.70995411773565,0.2769302482713929,0.07669036240765532,7.715201681042464,7.395188973522783,8.06787655481617,0.9048099423228448,0.5475825150202753,0.29984661075593,0.5895596920319988,0.4958295961782432,1.9300887199066101,6.4780000006,3.9115367538433437,15.300119776667321,4.47,3.54,13.75666667,7.1748749734,0.014895561244480679,2.2187774478807476e-4,7.173131466,7.15707922,7.19788599,13.838249206542969,0.03920593303289359,0.0015371051849797368,13.847434997558594,13.76919174194336,13.879928588867188,18.467260474,1.1135944998782474,1.2400927101590842,18.10053872,17.54488153,20.55046634,6.460584,0.40160011509748816,0.16128265244631576,6.23895,6.23895,7.23895,0.9461536,0.04024222207216274,0.001619436437305262,0.961538,0.884615,1
