dataset,impl,cpu_temp_delta,gpu_temp_delta
iris,skl_cpu,4.400000000000001,0.8
wine,skl_cpu,0.5,0.7
breast_cancer,skl_cpu,-0.09999999999999999,0.4
digits,skl_cpu,0,0.20000000000000004
iris,intelex_cpu,0.2,0.6
wine,intelex_cpu,1,0.8
breast_cancer,intelex_cpu,0.6,0.4
digits,intelex_cpu,0.4,0.4
iris,trh_gpu,-0.4,1.4
wine,trh_gpu,6,1.6
breast_cancer,trh_gpu,-0.4,1
digits,trh_gpu,0.2,1.4
iris,xgb_cpu,-0.8000000000000003,1
wine,xgb_cpu,0.6,1.6
breast_cancer,xgb_cpu,1.6,1.6
digits,xgb_cpu,-1.1999999999999997,1.6
iris,xgb_gpu,-0.20000000000000007,1
wine,xgb_gpu,1.2,0.8
breast_cancer,xgb_gpu,-0.2,0.8
digits,xgb_gpu,-1,0.8
