metric,scope,rho,p,n,p_adj_BH
runtime,overall,0.686544772620722,6.262912039466225e-46,320,3.1314560197331126e-45
mem_gib,overall,0.8579231129864042,5.534614972571664e-94,320,2.767307486285832e-93
cpu_util,overall,-0.656235349273324,8.659412776854167e-41,320,4.3297063884270834e-40
gpu_util,overall,0.22308058391427604,0.0016730999058990669,196,0.008365499529495335
accuracy,overall,NA,NA,320,NA
mse,overall,-0.12366178789316837,0.026968782605870392,320,0.04494797100978399
accuracy,impl:intelex_cpu,NA,NA,80,NA
cpu_util,impl:intelex_cpu,0.6135338345864662,1.4413691397046093e-9,80,3.6034228492615234e-9
gpu_util,impl:intelex_cpu,0.2,0.45768790507519996,16,0.7628131751253333
mem_gib,impl:intelex_cpu,0.318796992481203,0.003949885406317297,80,0.009874713515793242
mse,impl:intelex_cpu,0.09306800811953776,0.4115843659077292,80,0.5144804573846615
runtime,impl:intelex_cpu,0.3428571428571428,0.0018501541911087483,80,0.004625385477771871
accuracy,impl:skl_cpu,NA,NA,80,NA
cpu_util,impl:skl_cpu,0.2511278195488722,0.02464366784884218,80,0.041072779748070304
gpu_util,impl:skl_cpu,0.10000000000000002,0.6748712326262114,20,0.8435890407827642
mem_gib,impl:skl_cpu,0.13082706766917293,0.24738845849589455,80,0.2817842107230884
mse,impl:skl_cpu,-0.054289671403063684,0.6324422242709782,80,0.6324422242709782
runtime,impl:skl_cpu,-0.275187969924812,0.013491757849897177,80,0.022486263083161963
accuracy,impl:trh_gpu,NA,NA,80,NA
cpu_util,impl:trh_gpu,0.06466165413533835,0.5687822255365035,80,0.5687822255365035
gpu_util,impl:trh_gpu,-0.2628863317867251,0.018476865381933834,80,0.04619216345483458
mem_gib,impl:trh_gpu,-0.16240601503759397,0.1500608867202208,80,0.2501014778670347
mse,impl:trh_gpu,-0.46534004059768874,1.3662074328286694e-5,80,3.415518582071673e-5
runtime,impl:trh_gpu,-0.09624060150375939,0.39575441491842134,80,0.39575441491842134
accuracy,impl:xgb_gpu,NA,NA,80,NA
cpu_util,impl:xgb_gpu,-0.20300751879699247,0.07091314760991242,80,0.08864143451239052
gpu_util,impl:xgb_gpu,-0.015134630139977432,0.893999341893884,80,0.893999341893884
mem_gib,impl:xgb_gpu,0.12180451127819547,0.2817842107230884,80,0.2817842107230884
mse,impl:xgb_gpu,0.7522997322995968,8.667607903269319e-16,80,4.33380395163466e-15
runtime,impl:xgb_gpu,0.10977443609022557,0.3323790943561076,80,0.39575441491842134
