Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1759396921911,859,802,849,925,1723,739,1020,877,3.846153974533081,4,7.407407283782959,10.714285850524902,7.692307949066162,7.407407283782959,10.714285850524902,3.846153974533081,0,23085.026977539063,10170.959777832031,449.3045654296875,16539398144,8355049472,10045636608,0
200,1759396921911,859,802,849,925,1723,739,1020,877,3.846153974533081,4,7.407407283782959,10.714285850524902,7.692307949066162,7.407407283782959,10.714285850524902,3.846153974533081,0,23085.034606933594,10170.959777832031,449.3045654296875,16539398144,8355049472,10045673472,0
200,1759396922111,859,802,849,925,1723,739,1020,877,100,0,14.285715103149414,0,0,0,0,0,0,23088.951782226563,10173.739501953125,449.32049560546875,16539398144,8355049472,10131034112,0
200,1759396922311,859,802,849,925,1723,739,1020,877,60.000003814697266,0,0,0,0,0,0,40,0,23093.131286621094,10176.790649414063,449.32049560546875,16539398144,8355049472,10193342464,0
200,1759396922512,859,802,849,925,1723,739,1020,877,0,0,5.263157844543457,4.761904716491699,4.761904716491699,0,0,100,0,23097.260803222656,10179.78564453125,449.328125,16539398144,8355049472,10220625920,0
200,1759396922712,859,802,849,925,1723,739,1020,877,0,0,4.761904716491699,0,5,0,0,100,0,23101.257080078125,10182.638732910156,449.3470458984375,16539398144,8355049472,10235416576,0
200,1759396922912,859,802,849,925,1723,739,1020,877,0,0,0,40,5,0,0,47.619049072265625,0,23104.696899414063,10184.942199707031,449.3511962890625,16539398144,8355049472,10265141248,0
200,1759396923112,859,802,849,925,1723,739,1020,877,0,0,68.42105102539063,100,20,35,5,10,0,23110.58953857422,10189.67919921875,449.3511962890625,16539398144,8355049472,10362355712,0
200,1759396923312,859,802,849,925,1723,739,1020,877,4.761904716491699,4.761904716491699,100,90,14.285715103149414,0,0,5,0,23116.24658203125,10194.152038574219,449.36029052734375,16539398144,8355049472,10421592064,0
200,1759396923512,859,802,849,925,1723,739,1020,877,0,0,100,100,9.523809432983398,0,0,0,0,23121.762329101563,10198.496765136719,449.36029052734375,16539398144,8355049472,10464681984,0
200,1759396923712,859,802,849,925,1723,739,1020,877,0,0,100,100,0,0,0,0,0,23127.70391845703,10203.275512695313,449.36029052734375,16539398144,8355049472,10501201920,0
200,1759396923912,859,802,849,925,1723,739,1020,877,14.285715103149414,10,95.23809814453125,95,10,4.761904716491699,0,10,0,23132.932006835938,10207.323974609375,449.36029052734375,16539398144,8355049472,10520604672,0
200,1759396924113,859,802,849,925,1723,739,1020,877,25,21.052631378173828,100,100,5,0,5,20,0,23137.455200195313,10210.648132324219,449.36029052734375,16539398144,8355049472,10552033280,0
200,1759396924313,859,802,849,925,1723,739,1020,877,0,0,38.88888931274414,100,0,0,0,0,0,23140.65557861328,10212.6513671875,449.36541748046875,16539398144,8355049472,10512265216,0
0,1759396924513,859,802,849,925,1723,739,1020,877,0,0,38.095237731933594,35,0,0,0,0,0,23143.32861328125,10214.173461914063,449.37164306640625,16539398144,8355049472,10199023616,0
