__run_id,__done,impl,dataset,dataset_name,actual_size,n_features,energy,runtime,memory,accuracy
run_0_repetition_0,DONE,skl,iris,Iris,100,4,13.600341796875,0.80201614,10255634432,1.0
run_1_repetition_0,DONE,skl,wine,Wine,130,13,14.433837890628638,0.80205,10229469184,1.0
run_2_repetition_0,DONE,skl,breast_cancer,Breast Cancer,569,30,12.7098388671875,0.60109323,10209091584,0.973684
run_3_repetition_0,DONE,skl,digits,Digits,360,64,13.769775390625,0.8018126,10209935360,1.0
run_4_repetition_0,DONE,xgb,iris,Iris,100,4,21.892700195308862,1.00163,10132914176,1.0
run_5_repetition_0,DONE,xgb,wine,Wine,130,13,20.843994140621362,1.0013134,10106511360,1.0
run_6_repetition_0,DONE,xgb,breast_cancer,Breast Cancer,569,30,22.07049560546875,1.001285,10262761472,0.95614
run_7_repetition_0,DONE,xgb,digits,Digits,360,64,22.145507812503638,1.0015813,10260656128,0.986111
run_8_repetition_0,DONE,trh,iris,Iris,100,4,49.818115234375,2.8031917,10503782400,1.0
run_9_repetition_0,DONE,trh,wine,Wine,130,13,46.8304443359375,2.60295,10516451328,0.730769
run_10_repetition_0,DONE,trh,breast_cancer,Breast Cancer,569,30,47.79010009765989,2.6030483,10504646656,0.95614
run_11_repetition_0,DONE,trh,digits,Digits,360,64,49.303466796875,2.603152,10507264000,1.0
run_0_repetition_1,DONE,skl,iris,Iris,100,4,13.788146972659888,0.8020288,10293739520,1.0
run_1_repetition_1,DONE,skl,wine,Wine,130,13,16.27874755859375,0.8020317,10298769408,1.0
run_2_repetition_1,DONE,skl,breast_cancer,Breast Cancer,569,30,14.302978515625,0.80146587,10298892288,0.973684
run_3_repetition_1,DONE,skl,digits,Digits,360,64,20.859680175773974,0.80144966,10411790336,1.0
run_4_repetition_1,DONE,xgb,iris,Iris,100,4,21.962036132808862,1.0016285,10485927936,1.0
run_5_repetition_1,DONE,xgb,wine,Wine,130,13,22.0242919921875,1.0017798,10485063680,1.0
run_6_repetition_1,DONE,xgb,breast_cancer,Breast Cancer,569,30,22.051269531246362,1.0011673,10493546496,0.95614
run_7_repetition_1,DONE,xgb,digits,Digits,360,64,22.96453857421875,1.0035979,10491703296,0.986111
run_8_repetition_1,DONE,trh,iris,Iris,100,4,47.10992431640989,2.603361,10676805632,1.0
run_9_repetition_1,DONE,trh,wine,Wine,130,13,45.9420166015625,2.6037533,10666119168,0.961538
run_10_repetition_1,DONE,trh,breast_cancer,Breast Cancer,569,30,46.54901123046875,2.602743,10669731840,0.991228
run_11_repetition_1,DONE,trh,digits,Digits,360,64,49.001220703125,2.6032217,10629607424,1.0
run_0_repetition_2,DONE,skl,iris,Iris,100,4,14.5277099609375,0.80141383,10322853888,1.0
run_1_repetition_2,DONE,skl,wine,Wine,130,13,20.372802734375,0.801222,10368020480,1.0
run_2_repetition_2,DONE,skl,breast_cancer,Breast Cancer,569,30,13.98858642578125,0.8018252,10364366848,0.973684
run_3_repetition_2,DONE,skl,digits,Digits,360,64,18.70941162109375,0.8014939,10330869760,1.0
run_4_repetition_2,DONE,xgb,iris,Iris,100,4,22.38189697265625,1.001421,10382819328,1.0
run_5_repetition_2,DONE,xgb,wine,Wine,130,13,20.755920410159888,1.0019428,10226700288,1.0
run_6_repetition_2,DONE,xgb,breast_cancer,Breast Cancer,569,30,21.46112060546875,1.0153899,10233425920,0.95614
run_7_repetition_2,DONE,xgb,digits,Digits,360,64,22.70440673828125,1.0010694,10204815360,0.986111
run_8_repetition_2,DONE,trh,iris,Iris,100,4,43.35284423828125,2.603235,10358231040,1.0
run_9_repetition_2,DONE,trh,wine,Wine,130,13,42.451904296875,2.4022872,10357686272,0.884615
run_10_repetition_2,DONE,trh,breast_cancer,Breast Cancer,569,30,43.57183837890989,2.402422,10356994048,0.982456
run_11_repetition_2,DONE,trh,digits,Digits,360,64,58.3016357421875,2.6027672,10552033280,1.0
run_0_repetition_3,DONE,skl,iris,Iris,100,4,12.725830078125,0.80177563,10302099456,1.0
run_1_repetition_3,DONE,skl,wine,Wine,130,13,14.10662841796875,0.8019949,10286686208,1.0
run_2_repetition_3,DONE,skl,breast_cancer,Breast Cancer,569,30,11.754821777340112,0.6012282,10286886912,0.973684
run_3_repetition_3,DONE,skl,digits,Digits,360,64,12.978393554691138,0.80221444,10288586752,1.0
run_4_repetition_3,DONE,xgb,iris,Iris,100,4,20.9521484375,1.0016896,10326736896,1.0
run_5_repetition_3,DONE,xgb,wine,Wine,130,13,19.595214843753638,1.0014644,10313461760,1.0
run_6_repetition_3,DONE,xgb,breast_cancer,Breast Cancer,569,30,20.294860839847388,1.0018804,10291470336,0.95614
run_7_repetition_3,DONE,xgb,digits,Digits,360,64,20.94464111328125,1.0010993,10313310208,0.986111
run_8_repetition_3,DONE,trh,iris,Iris,100,4,44.1414794921875,2.6030848,10498916352,0.95
run_9_repetition_3,DONE,trh,wine,Wine,130,13,43.778564453125,2.603495,10500390912,0.884615
run_10_repetition_3,DONE,trh,breast_cancer,Breast Cancer,569,30,58.66949462890989,2.6020641,10630852608,0.938596
