metric,scope,rho,p,n,p_adj_BH
runtime,overall,0.6019515244114175,1.193313565644646e-48,480,7.159881393867877e-48
mem_gib,overall,0.49836099729147865,1.6889312859302543e-31,480,1.0133587715581526e-30
cpu_util,overall,-0.5655670532675882,6.275956088546246e-42,480,3.7655736531277475e-41
gpu_util,overall,0.5703422553175533,3.4719079455983502e-15,160,1.041572383679505e-14
accuracy,overall,-0.03499705188264911,0.44428213369561387,480,0.44428213369561387
mse,overall,NA,NA,480,NA
accuracy,impl:intelex_cpu,-0.6107639326725459,1.7884721092085342e-9,80,5.365416327625602e-9
cpu_util,impl:intelex_cpu,0.32481203007518794,0.0032859995576622948,80,0.004928999336493442
gpu_util,impl:intelex_cpu,NA,NA,0,NA
mem_gib,impl:intelex_cpu,0.2887218045112782,0.009395198984739282,80,0.0146833239369174
mse,impl:intelex_cpu,NA,NA,80,NA
runtime,impl:intelex_cpu,0.12481203007518797,0.26998240424879943,80,0.4049736063731991
accuracy,impl:skl_cpu,0.3710974956125905,1.3592981204184402e-6,160,2.7185962408368804e-6
cpu_util,impl:skl_cpu,0.7894934333958725,2.550440331632687e-35,160,7.65132099489806e-35
gpu_util,impl:skl_cpu,NA,NA,0,NA
mem_gib,impl:skl_cpu,0.5058161350844279,8.944230690851418e-12,160,2.6832692072554253e-11
mse,impl:skl_cpu,NA,NA,160,NA
runtime,impl:skl_cpu,0.11876172607879926,0.13471871190211868,160,0.26943742380423735
accuracy,impl:trh_gpu,-0.2845850852942798,0.010512982214034605,80,0.012615578656841526
cpu_util,impl:trh_gpu,0.058646616541353384,0.6053371540440717,80,0.7264045848528861
gpu_util,impl:trh_gpu,0.46453703734088503,1.4201350912443416e-5,80,2.1302026368665125e-5
mem_gib,impl:trh_gpu,-0.19849624060150375,0.07755184158410985,80,0.07755184158410985
mse,impl:trh_gpu,NA,NA,80,NA
runtime,impl:trh_gpu,0.010526315789473684,0.9261649434345423,80,0.9261649434345423
accuracy,impl:xgb_cpu,-0.8706578620686515,9.518720770910074e-26,80,5.711232462546045e-25
cpu_util,impl:xgb_cpu,0.8045112781954886,2.4993573291871623e-19,80,4.998714658374325e-19
gpu_util,impl:xgb_cpu,NA,NA,0,NA
mem_gib,impl:xgb_cpu,0.28721804511278193,0.009788882624611599,80,0.0146833239369174
mse,impl:xgb_cpu,NA,NA,80,NA
runtime,impl:xgb_cpu,-0.03609022556390978,0.7506184868657849,80,0.9007421842389418
accuracy,impl:xgb_gpu,-0.4414603244291754,4.1485031297478796e-5,80,6.22275469462182e-5
cpu_util,impl:xgb_gpu,-0.02857142857142857,0.8013657326778884,80,0.8013657326778884
gpu_util,impl:xgb_gpu,0.31457320736836775,0.004484944478722345,80,0.004484944478722345
mem_gib,impl:xgb_gpu,-0.26165413533834586,0.019053860344565014,80,0.022864632413478015
mse,impl:xgb_gpu,NA,NA,80,NA
runtime,impl:xgb_gpu,-0.45864661654135336,1.880953302612996e-5,80,5.642859907838988e-5
