metric,scope,rho,p,n,p_adj_BH
runtime,overall,0.6311197554876355,4.524489505236527e-28,240,1.809795802094611e-27
mem_gib,overall,0.6255626562934149,1.8018359462287052e-27,240,7.207343784914821e-27
cpu_util,overall,-0.63500972492359,1.6911068910282961e-28,240,6.764427564113185e-28
gpu_util,overall,0.025602438673126077,0.821646286544443,80,0.821646286544443
accuracy,overall,-0.1161506937402966,0.07248047759167384,240,0.22597525820526126
mse,overall,NA,NA,240,NA
accuracy,impl:intelex_cpu,-0.08531234077624295,0.45179813037255534,80,0.45179813037255534
cpu_util,impl:intelex_cpu,0.13383458646616542,0.23659270965757928,80,0.31545694621010567
gpu_util,impl:intelex_cpu,NA,NA,0,NA
mem_gib,impl:intelex_cpu,-0.09774436090225563,0.3883790500072072,80,0.5178387333429428
mse,impl:intelex_cpu,NA,NA,80,NA
runtime,impl:intelex_cpu,-0.36240601503759395,9.548375875755907e-4,80,0.0019096751751511813
accuracy,impl:skl_cpu,-0.15511334686589626,0.16948144365394596,80,0.22597525820526126
cpu_util,impl:skl_cpu,0.030075187969924814,0.7911428260637641,80,0.7911428260637641
gpu_util,impl:skl_cpu,NA,NA,0,NA
mem_gib,impl:skl_cpu,0.021052631578947368,0.8529487148150326,80,0.8529487148150326
mse,impl:skl_cpu,NA,NA,80,NA
runtime,impl:skl_cpu,0.1609022556390977,0.15392259589230564,80,0.2052301278564075
accuracy,impl:tf_gpu,-0.16286901420919106,0.14888660153871158,80,0.22597525820526126
cpu_util,impl:tf_gpu,0.3308270676691729,0.002723629550474351,80,0.005447259100948702
gpu_util,impl:tf_gpu,0.025602438673126077,0.821646286544443,80,0.821646286544443
mem_gib,impl:tf_gpu,-0.24962406015037594,0.025546035798172932,80,0.051092071596345864
mse,impl:tf_gpu,NA,NA,80,NA
runtime,impl:tf_gpu,0.08270676691729323,0.4657813895559969,80,0.4657813895559969
