dataset,impl,n,energy_total_mean,energy_total_sd,energy_total_var,energy_total_median,energy_total_min,energy_total_max,cpu_energy_mean,cpu_energy_sd,cpu_energy_var,cpu_energy_median,cpu_energy_min,cpu_energy_max,gpu_energy_mean,gpu_energy_sd,gpu_energy_var,gpu_energy_median,gpu_energy_min,gpu_energy_max,power_avg_total_mean,power_avg_total_sd,power_avg_total_var,power_avg_total_median,power_avg_total_min,power_avg_total_max,power_avg_cpu_mean,power_avg_cpu_sd,power_avg_cpu_var,power_avg_cpu_median,power_avg_cpu_min,power_avg_cpu_max,power_avg_gpu_calc_mean,power_avg_gpu_calc_sd,power_avg_gpu_calc_var,power_avg_gpu_calc_median,power_avg_gpu_calc_min,power_avg_gpu_calc_max,power_avg_gpu_meas_mean,power_avg_gpu_meas_sd,power_avg_gpu_meas_var,power_avg_gpu_meas_median,power_avg_gpu_meas_min,power_avg_gpu_meas_max,runtime_mean,runtime_sd,runtime_var,runtime_median,runtime_min,runtime_max,mem_gib_mean,mem_gib_sd,mem_gib_var,mem_gib_median,mem_gib_min,mem_gib_max,cpu_util_mean,cpu_util_sd,cpu_util_var,cpu_util_median,cpu_util_min,cpu_util_max,gpu_util_mean,gpu_util_sd,gpu_util_var,gpu_util_median,gpu_util_min,gpu_util_max,accuracy_mean,accuracy_sd,accuracy_var,accuracy_median,accuracy_min,accuracy_max
iris,skl_cpu,20,17.237817384,0.13438316817663276,0.018058835889189162,17.24163818,17.07208252,17.40240479,17.237817384,0.13438316817663276,0.018058835889189162,17.24163818,17.07208252,17.40240479,NA,NA,NA,NA,NA,NA,8.278924524836212,0.05734601614629843,0.0032885655678515204,8.281022071747486,8.188324301887585,8.345204560108098,8.278924524836212,0.05734601614629843,0.0032885655678515204,8.281022071747486,8.188324301887585,8.345204560108098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.0821491244,0.011319082305536701,1.2812162423951403e-4,2.084929943,2.066053391,2.096527338,13.29744644165039,0.1026000178245507,0.01052676365759812,13.348705291748047,13.166637420654297,13.411418914794922,26.254260872,0.359508194417957,0.12924614185365957,26.19744453,25.75845753,26.73636917,NA,NA,NA,NA,NA,NA,1,0,0,1,1,1
wine,skl_cpu,20,17.247558594,0.11495536946738777,0.013214736969383628,17.23779297,17.11376953,17.38848877,17.247558594,0.11495536946738777,0.013214736969383628,17.23779297,17.11376953,17.38848877,NA,NA,NA,NA,NA,NA,8.273792961960492,0.06739033321506371,0.00454145701083732,8.242926617857863,8.223678373225836,8.401020159169308,8.273792961960492,0.06739033321506371,0.00454145701083732,8.242926617857863,8.223678373225836,8.401020159169308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.0846681118,0.01416756376251852,2.0071986296502794e-4,2.081035852,2.069806814,2.106105566,13.294510650634766,0.10178437469752001,0.010360058932565152,13.347064971923828,13.169273376464844,13.40817642211914,26.240528408,0.44298425296354976,0.19623504837367423,26.21485094,25.59328,26.92328616,NA,NA,NA,NA,NA,NA,0.938462,0,0,0.938462,0.938462,0.938462
breast_cancer,skl_cpu,20,18.573059082,2.594482287701574,6.731338341197192,17.36303711,17.10650635,23.62585449,18.573059082,2.594482287701574,6.731338341197192,17.36303711,17.10650635,23.62585449,NA,NA,NA,NA,NA,NA,8.8649820983987,1.2443716407596377,1.5484607803268329,8.303735942365691,8.08818445729652,11.282097823896418,8.8649820983987,1.2443716407596377,1.5484607803268329,8.303735942365691,8.08818445729652,11.282097823896418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.0953739644000002,0.018591693847301066,3.456510801117723e-4,2.094101191,2.06621027,2.114999533,13.307605743408203,0.0888824753452113,0.007900094423492095,13.347347259521484,13.18503189086914,13.408836364746094,27.729036036,2.6387722347933247,6.963118907116156,26.47954616,24.61796576,31.54040452,NA,NA,NA,NA,NA,NA,0.905097,0,0,0.905097,0.905097,0.905097
digits,skl_cpu,20,17.380883790000002,0.08206457621352321,0.006734594669105159,17.39105225,17.26983643,17.48400879,17.380883790000002,0.08206457621352321,0.006734594669105159,17.39105225,17.26983643,17.48400879,NA,NA,NA,NA,NA,NA,8.28635008411249,0.08718144174022927,0.0076006037839049904,8.2505357247108,8.18664705806773,8.432391785177314,8.28635008411249,0.08718144174022927,0.0076006037839049904,8.2505357247108,8.18664705806773,8.432391785177314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.0977080346,0.019749047391088837,3.9002487285547284e-4,2.110749245,2.073434114,2.114783764,13.324224090576172,0.09687348200757498,0.009384471516271952,13.34674072265625,13.18729019165039,13.4227294921875,25.654615068,0.4069694209284865,0.16562410957086762,25.49138012,25.24112836,26.34587731,NA,NA,NA,NA,NA,NA,0.994444,0,0,0.994444,0.994444,0.994444
iris,intelex_cpu,20,17.187194824,0.12331236688498323,0.01520593982677671,17.14959717,17.07440186,17.41265869,17.187194824,0.12331236688498323,0.01520593982677671,17.14959717,17.07440186,17.41265869,NA,NA,NA,NA,NA,NA,8.184997697493145,0.12031810024689935,0.01447644524702292,8.163844053975634,8.038687287680421,8.397834410843275,8.184997697493145,0.12031810024689935,0.01447644524702292,8.163844053975634,8.038687287680421,8.397834410843275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.100103712,0.021025100808263652,4.4205486399764886e-4,2.09146595,2.073470116,2.133382797,13.324920654296875,0.09966762191005647,0.009933634857205968,13.349971771240234,13.18954086303711,13.426326751708984,26.099105836,0.679150859822385,0.46124589039748476,26.06158083,25.38201952,27.30227429,NA,NA,NA,NA,NA,NA,1,0,0,1,1,1
wine,intelex_cpu,20,17.126489256,0.10367530618544642,0.010748569112646064,17.05743408,17.02026367,17.25134277,17.126489256,0.10367530618544642,0.010748569112646064,17.05743408,17.02026367,17.25134277,NA,NA,NA,NA,NA,NA,7.7219661691009565,0.6258872649808694,0.39173486846523314,8.121774003023605,6.908131562899285,8.276579546445227,7.7219661691009565,0.6258872649808694,0.39173486846523314,8.121774003023605,6.908131562899285,8.276579546445227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.232422161,0.18917830892331608,0.03578843256708562,2.095633745,2.06703496,2.469040632,13.327955627441407,0.09806644221598801,0.009617027088901716,13.355655670166016,13.188377380371094,13.426311492919922,25.831372054,1.1552073526841564,1.334504027695537,26.52721961,23.72912032,26.67712706,NA,NA,NA,NA,NA,NA,0.938462,0,0,0.938462,0.938462,0.938462
breast_cancer,intelex_cpu,20,17.295861816,0.18852215671415337,0.035540603572155806,17.24359131,17.00866699,17.52630615,17.295861816,0.18852215671415337,0.035540603572155806,17.24359131,17.00866699,17.52630615,NA,NA,NA,NA,NA,NA,8.249800290573441,0.16596227833335234,0.027543477829597107,8.243337158734311,7.97645821825818,8.458155228476437,8.249800290573441,0.16596227833335234,0.027543477829597107,8.243337158734311,7.97645821825818,8.458155228476437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.0968988898,0.02028796667379933,4.1160159175719223e-4,2.091821671,2.072119236,2.132358313,13.33126220703125,0.08696070299587536,0.007562163865536845,13.364139556884766,13.2227783203125,13.421241760253906,26.072016178,0.3929018133362079,0.15437183492288034,25.95620702,25.49413881,26.60690175,NA,NA,NA,NA,NA,NA,0.905097,0,0,0.905097,0.905097,0.905097
digits,intelex_cpu,20,17.333703612,0.15198032685061857,0.023098019749620856,17.24731445,17.17889404,17.56225586,17.333703612,0.15198032685061857,0.023098019749620856,17.24731445,17.17889404,17.56225586,NA,NA,NA,NA,NA,NA,8.296159126212686,0.07122183083716427,0.005072549187797644,8.289738031403015,8.21842871042054,8.40552882858034,8.296159126212686,0.07122183083716427,0.005072549187797644,8.289738031403015,8.21842871042054,8.40552882858034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.089370775,0.006275054452261736,3.9376308378849844e-5,2.090289354,2.07799983,2.095659733,13.333562469482422,0.08943822282765937,0.00799919570257005,13.366302490234375,13.217521667480469,13.42532730102539,26.319348002,0.4794442038293588,0.22986674458556777,26.50960905,25.5911529,26.81072576,NA,NA,NA,NA,NA,NA,0.994444,0,0,0.994444,0.994444,0.994444
iris,tf_gpu,20,52.6453780284,2.9164348468418844,8.505592215873644,51.397657578,50.930284264,58.3176165,47.017810058,0.13796635142302355,0.019034714124981228,47.01080322,46.86340332,47.22540283,5.6275679704,2.8717603560454434,8.247007542554252,4.236188349,4.066880944,11.21715263,7.334801955571944,0.4147615260093111,0.17202712345757243,7.154220400890106,7.080286777845659,8.140737334207733,6.550397948795611,0.02776073122800381,7.706581983134659e-4,6.5499744083872855,6.51491229013189,6.585561579481009,0.7844040067763324,0.4014760202527783,0.16118299483800924,0.5907345954262024,0.5653744877137699,1.5658371977281933,5.5519999994,2.6388484095416573,6.963520928540535,4.536666667,3.83,10.63333333,7.1778947354,0.010518225475500596,1.1063306715346975e-4,7.177249908,7.163677454,7.19325161,13.651884460449219,0.08956819363347841,0.008022461310764284,13.6802978515625,13.528938293457031,13.742073059082031,18.330052236,0.23597570896823108,0.055684535223059294,18.33610307,18.00409762,18.7106396,7.60265,1.1632935992530684,1.3532519980631583,7.18342,6.18342,9.47845,1,0,0,1,1,1
wine,tf_gpu,20,51.609642545599996,0.4312729531175499,0.1859963600907324,51.870157263,51.093127052999996,52.045176280999996,47.08302002,0.09011735951936034,0.008121138486741645,47.11401367,46.93304443,47.18841553,4.5266225256,0.46970764568477374,0.22062527241473295,4.745598714,3.971643647,4.999644051,7.1435722302165345,0.13057463855422893,0.017049736233567526,7.145783622411146,6.927474311312339,7.299133364257926,6.51741263352154,0.12872877748746317,0.016571098153416803,6.576133913675488,6.268102446499144,6.597952749458276,0.6261595966949949,0.062004368380635166,0.00384454169828151,0.6593718648131945,0.5523923373056638,0.7011806147996503,4.4819999998,0.5639484858577004,0.31803789470119287,4.623333333,3.783333333,5.293333333,7.2267270564,0.13547455132299843,0.018353354056167736,7.175707817,7.130322695,7.487600088,13.636565399169921,0.08317850673399961,0.006918663982498019,13.669815063476562,13.517597198486328,13.74151611328125,18.679517838,0.922776717143908,0.851516869702888,18.25005558,18.13513856,20.47477683,7.4998000000000005,0.3974674569929229,0.15798037936842102,7.25431,7.25431,8.25431,0.938461538,0,0,0.938461538,0.938461538,0.938461538
