dataset,impl,n,energy_total_mean,energy_total_sd,energy_total_var,energy_total_median,energy_total_min,energy_total_max,cpu_energy_mean,cpu_energy_sd,cpu_energy_var,cpu_energy_median,cpu_energy_min,cpu_energy_max,gpu_energy_mean,gpu_energy_sd,gpu_energy_var,gpu_energy_median,gpu_energy_min,gpu_energy_max,power_avg_total_mean,power_avg_total_sd,power_avg_total_var,power_avg_total_median,power_avg_total_min,power_avg_total_max,power_avg_cpu_mean,power_avg_cpu_sd,power_avg_cpu_var,power_avg_cpu_median,power_avg_cpu_min,power_avg_cpu_max,power_avg_gpu_calc_mean,power_avg_gpu_calc_sd,power_avg_gpu_calc_var,power_avg_gpu_calc_median,power_avg_gpu_calc_min,power_avg_gpu_calc_max,power_avg_gpu_meas_mean,power_avg_gpu_meas_sd,power_avg_gpu_meas_var,power_avg_gpu_meas_median,power_avg_gpu_meas_min,power_avg_gpu_meas_max,runtime_mean,runtime_sd,runtime_var,runtime_median,runtime_min,runtime_max,mem_gib_mean,mem_gib_sd,mem_gib_var,mem_gib_median,mem_gib_min,mem_gib_max,cpu_util_mean,cpu_util_sd,cpu_util_var,cpu_util_median,cpu_util_min,cpu_util_max,gpu_util_mean,gpu_util_sd,gpu_util_var,gpu_util_median,gpu_util_min,gpu_util_max,mse_mean,mse_sd,mse_var,mse_median,mse_min,mse_max
iris,skl_cpu,20,16.64597168,0.08931870870599101,0.007977831724905675,16.67138672,16.48675537,16.74975586,16.64597168,0.08931870870599101,0.007977831724905675,16.67138672,16.48675537,16.74975586,NA,NA,NA,NA,NA,NA,7.939515508252489,0.06053215369486829,0.003664141630939157,7.942147191811767,7.853283476137908,8.01255575167325,7.939515508252489,0.06053215369486829,0.003664141630939157,7.942147191811767,7.853283476137908,8.01255575167325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.096673441,0.014343933885536363,2.0574843931263828e-4,2.090438604,2.085851908,2.123873711,13.36057357788086,0.03872186944852818,0.0014993831735888598,13.3658447265625,13.312942504882812,13.41097640991211,25.069614576,0.2891850581692154,0.08362799786833251,25.11881196,24.58854745,25.40930553,8.22376,0.9970768604275198,0.9941622655999998,8.22376,7.29108,9.15644,0.0118,0,0,0.0118,0.0118,0.0118
wine,skl_cpu,20,16.605541992,0.14828678261291794,0.02198896989769078,16.63861084,16.39123535,16.81512451,16.605541992,0.14828678261291794,0.02198896989769078,16.63861084,16.39123535,16.81512451,NA,NA,NA,NA,NA,NA,7.744196058230566,0.3643027551834889,0.13271649743428107,7.893917285492641,7.060052649222289,8.033759956176578,7.744196058230566,0.3643027551834889,0.13271649743428107,7.893917285492641,7.060052649222289,8.033759956176578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1489410402,0.10699563240127048,0.011448065352947802,2.093057871,2.089029789,2.35672617,13.366709136962891,0.038661362185804,0.0014947009260619156,13.377578735351562,13.323719024658203,13.4202880859375,24.952818518,0.5142350498776528,0.2644376865226721,25.17416923,24.06076132,25.50016741,8.46352,0,0,8.46352,8.46352,8.46352,0.0472,0,0,0.0472,0.0472,0.0472
breast_cancer,skl_cpu,20,16.773535154,0.2208632789920189,0.048780588007106385,16.73535156,16.48040771,17.1505127,16.773535154,0.2208632789920189,0.048780588007106385,16.73535156,16.48040771,17.1505127,NA,NA,NA,NA,NA,NA,7.970911597344533,0.14895084563727415,0.022186354416059068,7.9707030538655905,7.746070306472698,8.199923925818519,7.970911597344533,0.14895084563727415,0.022186354416059068,7.9707030538655905,7.746070306472698,8.199923925818519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1045592784,0.013230730256675274,1.750522231249026e-4,2.098497629,2.091545343,2.127583027,13.375409698486328,0.03496052581016981,0.0012222383649235496,13.375831604003906,13.329322814941406,13.424327850341797,25.279426918,0.688168178176716,0.4735754414550604,25.20648148,24.63423659,26.47927163,12.18493,0,0,12.18493,12.18493,12.18493,0.0621,0,0,0.0621,0.0621,0.0621
digits,skl_cpu,20,16.755310058,0.20945246456281905,0.04387033491143897,16.80206299,16.39892578,17.02709961,16.755310058,0.20945246456281905,0.04387033491143897,16.80206299,16.39892578,17.02709961,NA,NA,NA,NA,NA,NA,7.999128008314636,0.13961490946600538,0.01949232294520088,8.035044817728371,7.7429656310835515,8.144797241562785,7.999128008314636,0.13961490946600538,0.01949232294520088,8.035044817728371,7.7429656310835515,8.144797241562785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.0948406696,0.01455065692490774,2.1172161694636552e-4,2.093604326,2.073831081,2.117912769,13.380055999755859,0.028136489681328633,7.916620515875126e-4,13.377288818359375,13.347175598144531,13.423110961914062,24.708260038,0.46570456424162776,0.21688074115548442,24.823615,23.84861002,25.20499595,10.03721,0,0,10.03721,10.03721,10.03721,0.0096,0,0,0.0096,0.0096,0.0096
iris,intelex_cpu,20,19.846923826,0.15901979760344187,0.02528729602983962,19.78460693,19.66229248,20.11065674,19.846923826,0.15901979760344187,0.02528729602983962,19.78460693,19.66229248,20.11065674,NA,NA,NA,NA,NA,NA,9.5597697582602,0.035719416955796245,0.0012758767476620243,9.557795743952331,9.501658101900457,9.609100356158626,9.5597697582602,0.035719416955796245,0.0012758767476620243,9.557795743952331,9.501658101900457,9.609100356158626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.076074648,0.012564899485712445,1.5787669908605686e-4,2.069996834,2.067893267,2.100363016,13.398694610595703,0.037306313089701094,0.0013917609963468032,13.420982360839844,13.34475326538086,13.436641693115234,23.041437466,0.5055278831784618,0.2555584406708965,23.07521283,22.35669055,23.74322867,5.21284,0,0,5.21284,5.21284,5.21284,0.0118,0,0,0.0118,0.0118,0.0118
wine,intelex_cpu,20,20.753039552,1.530762231474327,2.3432330093082614,20.00897217,19.90313721,23.73327637,20.753039552,1.530762231474327,2.3432330093082614,20.00897217,19.90313721,23.73327637,NA,NA,NA,NA,NA,NA,9.924452892799422,0.769542247678742,0.5921952709624503,9.56276466230017,9.494815940893874,11.422781974963684,9.924452892799422,0.769542247678742,0.5921952709624503,9.56276466230017,9.494815940893874,11.422781974963684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.0916278839999998,0.007282961713422234,5.304153131917412e-5,2.095823288,2.077714205,2.096210957,13.457722473144532,0.10834220172609588,0.011738032674858054,13.42917251586914,13.350746154785156,13.660049438476562,25.031880266,3.3524594316070777,11.23898424057125,23.55988678,23.18101413,31.55570515,6.17439,0,0,6.17439,6.17439,6.17439,0.0472,0,0,0.0472,0.0472,0.0472
breast_cancer,intelex_cpu,20,20.396240236,0.8503264046157006,0.7230549943866642,20.00042725,19.90881348,22.04736328,20.396240236,0.8503264046157006,0.7230549943866642,20.00042725,19.90881348,22.04736328,NA,NA,NA,NA,NA,NA,9.80597706491323,0.44020620015310746,0.1937814986532377,9.641893196341726,9.426153520386427,10.645512868052247,9.80597706491323,0.44020620015310746,0.1937814986532377,9.641893196341726,9.426153520386427,10.645512868052247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.08031373,0.01720086781980905,2.958698537545425e-4,2.075003624,2.064824104,2.112658739,13.496806335449218,0.11579410317880197,0.013408274330983037,13.444454193115234,13.357940673828125,13.65530776977539,24.122187806,1.7093136302789596,2.9217530866574357,23.54436355,22.58762091,27.36228515,9.85627,0,0,9.85627,9.85627,9.85627,0.0621,0,0,0.0621,0.0621,0.0621
digits,intelex_cpu,20,20.509716798,1.0884951031770431,1.184821589640402,19.97747803,19.9241333,22.62969971,20.509716798,1.0884951031770431,1.184821589640402,19.97747803,19.9241333,22.62969971,NA,NA,NA,NA,NA,NA,9.90910300351431,0.5083013737517397,0.2583702865579058,9.664470638621667,9.630551627376454,10.898563479909894,9.90910300351431,0.5083013737517397,0.2583702865579058,9.664470638621667,9.630551627376454,10.898563479909894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.0696214678000002,0.004893511050649563,2.3946450402829393e-5,2.066259623,2.065040112,2.076392889,13.554391479492187,0.19569265189000581,0.038295614003743,13.46475601196289,13.366443634033203,13.904502868652344,24.121461632,2.6930420999392553,7.252475752045233,23.00000918,21.98606776,29.29018344,8.04916,0,0,8.04916,8.04916,8.04916,0.0096,0,0,0.0096,0.0096,0.0096
iris,xgb_gpu,20,29.2958020504,0.9666038458764877,0.9343229948632168,29.890937621,28.058906655,30.309882066,24.764746094,0.7270326177067004,0.5285764272094571,25.03674316,23.91461182,25.47784424,4.5310559564,0.3071161900485425,0.0943203541899325,4.420234491,4.144294835,4.926206541,4.0775261568526435,0.13005541494195075,0.016914410955722985,4.159493287819633,3.9035684510201003,4.2160899143597845,3.4468993585786567,0.09793986484712375,0.009592217126272866,3.475631276696649,3.327012180722634,3.5462405336867424,0.630626798273987,0.04195290395599779,0.0017600461503411745,0.6154213584281365,0.5765562702974661,0.6838620111229841,4.5566666668,0.4294427233193383,0.18442105261192973,4.59,4,5.22,7.1844689846000005,0.014765142458413504,2.1800943181724515e-4,7.188014507,7.159271002,7.203509569,13.5427978515625,0.09121116285673513,0.008319476229677858,13.51263427734375,13.41623306274414,13.648357391357422,24.823961336,2.1232605826304183,4.508235501752063,23.62486966,23.00322184,28.40882406,8.804256,0.5546858923219998,0.3076764391410532,8.45676,8.31874,9.46352,4e-4,0,0,4e-4,4e-4,4e-4
wine,xgb_gpu,20,33.0264892144,2.3217747050711948,5.390637781108433,32.707626508,29.734669911999998,36.091101146,28.041455078,2.8080383241896882,7.8850792301180315,28.25299072,24.51226807,31.89941406,4.9850341364,1.160152969825133,1.3459549133940758,4.454635788,4.190968742,7.186187921,4.607891496764376,0.3196692205978729,0.10218841059765153,4.5477428645449,4.1648822383478485,5.025369010638482,3.9123752870960353,0.3889639057197278,0.15129291995274527,3.9283601614292127,3.41705638979996,4.441713380430244,0.6955162096683409,0.16154892690185504,0.026098055783140905,0.6193827031156873,0.5836556302082389,1.00176814661265,5.1359999998,0.8522893834371749,0.7263971931197197,4.813333333,4.483333333,6.73,7.1669232846,0.02060432988890333,4.245384101707551e-4,7.173504114,7.139378309,7.192057133,13.539601898193359,0.0885882653189349,0.007847880752218005,13.501300811767578,13.420772552490234,13.646354675292969,27.701751192,3.892720321796942,15.15327150373089,25.78004146,23.34574601,32.80825778,8.768188,0.3765061027477716,0.14175684540631553,9.06782,8.31874,9.06782,0.0085,0,0,0.0085,0.0085,0.0085
