__run_id,__done,alg,impl,dataset,actual_size,n_features,cpu_energy,cpu_util,gpu_energy,gpu_util,gpu_power_avg,runtime,memory,accuracy,mse,cpu_temp_before,gpu_temp_before,cpu_temp_after,gpu_temp_after
run_0_repetition_0,DONE,LR,skl_cpu,iris,100,4,18.68603516,31.89127708,,,,2.099057198,14753169408,1,0,40,42,84,42
run_1_repetition_0,DONE,LR,skl_cpu,wine,130,13,18.74926758,32.09481192,,,,2.088058949,14515105792,1,0,38,40,40,41
run_2_repetition_0,DONE,LR,skl_cpu,breast_cancer,569,30,18.81689453,32.12001042,,,,2.08620739,14505639936,0.973684,0,39,40,39,40
run_3_repetition_0,DONE,LR,skl_cpu,digits,360,64,18.71325684,32.70569478,,,,2.092780828,14489866240,1,0,39,40,39,40
run_4_repetition_0,DONE,LR,intelex_cpu,iris,100,4,21.73272705,28.10290339,,,,2.092662334,14503424000,1,0,39,39,39,40
run_5_repetition_0,DONE,LR,intelex_cpu,wine,130,13,21.75854492,29.33455934,,,,2.089181185,14497943552,1,0,39,39,39,40
run_6_repetition_0,DONE,LR,intelex_cpu,breast_cancer,569,30,25.88494873,31.6304621,,,,2.093066454,14661345280,0.973684,0,40,41,41,41
run_7_repetition_0,DONE,LR,intelex_cpu,digits,360,64,22.03491211,28.80827285,,,,2.095623493,14586232832,1,0,39,40,39,40
run_8_repetition_0,DONE,LR,trh_gpu,iris,100,4,55.40032959,17.30476956,3.438800915,5.34712,3.503333333,7.217731237,14881263616,1,0,39,39,40,41
run_9_repetition_0,DONE,LR,trh_gpu,wine,130,13,53.12042236,17.71656653,3.561596284,6.23895,3.54,7.183105469,14886203392,0.961538,0,39,40,40,41
run_10_repetition_0,DONE,LR,trh_gpu,breast_cancer,569,30,61.69274902,24.02939648,5.116802379,10.48267,5.26,7.153787613,14887358464,0.964912,0,48,41,41,42
run_11_repetition_0,DONE,LR,trh_gpu,digits,360,64,55.4697876,16.66727999,3.851162448,8.15644,3.603333333,7.212123871,14887661568,1,0,41,41,42,43
run_12_repetition_0,DONE,RR,skl_cpu,iris,100,4,16.74975586,25.11881196,,7.29108,,2.090438604,14351466496,0,0.0118,42,41,39,41
